OTU	Domain	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
KF990099.1.1504	d__Bacteria	p__Firmicutes	c__Thermacetogenia	o__Thermacetogeniales	f__Thermacetogeniaceae	g__Syntrophaceticus	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AJ519367.1.1302	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Subgroup_17	f__Subgroup_17	g__Subgroup_17	s__uncultured_Holophaga	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0
FJ152680.1.1437	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Chelativorans	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0.00233859777677305
HQ674828.1.1506	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Ellin6067	s__uncultured_Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0
JX504936.1.1475	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Cohnella	s__uncultured_Cohnella	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AF354161.1.1421	d__Bacteria	p__Calditrichota	c__Calditrichia	o__Calditrichales	f__Calditrichaceae	g__Calditrichaceae	s__uncultured_delta	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AB185957.1.1415	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__Paracoccus_marinus	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU346911.1.1481	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leucobacter	s__Leucobacter_chironomi	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
AY546505.1.1499	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylomicrobium	s__uncultured_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
EU526954.1.1429	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__Streptomyces_plumbiresistens	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
JX489982.1.1497	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__Unknown_Family	g__Acidibacter	s__uncultured_soil	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
KM019064.1.1510	d__Bacteria	p__Desulfobacterota	c__Dissulfuribacteria	o__Dissulfuribacterales	f__Dissulfuribacteraceae	g__uncultured	s__uncultured_planctomycete	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
HQ183928.1.1509	d__Bacteria	p__Actinobacteriota	c__RBG-16-55-12	o__RBG-16-55-12	f__RBG-16-55-12	g__RBG-16-55-12	s__uncultured_actinomycete	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0.000779532592257682
JN387421.1.1447	d__Bacteria	p__FCPU426	c__FCPU426	o__FCPU426	f__FCPU426	g__FCPU426	s__uncultured_microorganism	0	0	0	0	0	0	0	0	0	0	0	0	0.0019485580670304	0.000779532592257682
KR029374.1.1537	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Fictibacillus_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0.000974279033515199	0
